Reference,Account Number,Description,Start Balance,Mutation,End Balance
182765,NL93ABNA0585619023,Clothes for Jan Theu,65.75,-29.89,35.86
112806,NL27SNSB0917829871,Tickets from Peter King,45.94,+28.86,74.8
194141,NL43AEGO0773393871,Clothes from Rik King,89.73,+49.2,138.93
131385,NL93ABNA0585619023,Candy for Danil Theu,22.59,-34.65,-12.06
112806,NL43AEGO0773393871,Clothes from Richard King,56.29,-26.36,29.93
112806,NL46ABNA0625805417,Subscription from Richard Bakker,30.29,-4.96,25.33
137280,NL32RABO0195610843,Flowers from Willem de Vries,28.34,-35.56,-7.22
185520,NL56RABO0149876948,Subscription for Richard Theu,14.44,+39.58,54.02
103963,NL69ABNA0433647324,Subscription for Rik Dekker,75.86,+21.55,97.41
123116,NL43AEGO0773393871,Candy for Willem Theu,48.95,+47.25,96.2
